Datetime,Water Level (m)
2023-04-13 06:00:00,-1.0979818
2023-04-13 07:00:00,-0.5877078
2023-04-13 08:00:00,-0.02266759
2023-04-13 09:00:00,0.41856983
2023-04-13 10:00:00,0.8148014
2023-04-13 11:00:00,1.0387027
2023-04-13 12:00:00,1.0466154
2023-04-13 13:00:00,0.76697814
2023-04-13 14:00:00,0.25276428
2023-04-13 15:00:00,-0.22025938
2023-04-13 16:00:00,-0.575083
2023-04-13 17:00:00,-0.8224091
2023-04-13 18:00:00,-0.96550673
2023-04-13 19:00:00,-0.8953238
2023-04-13 20:00:00,-0.57849956
2023-04-13 21:00:00,-0.113629706
2023-04-13 22:00:00,0.23877265
2023-04-13 23:00:00,0.48889586
2023-04-14 00:00:00,0.57142156
2023-04-14 01:00:00,0.4218267
2023-04-14 02:00:00,0.078720175
2023-04-14 03:00:00,-0.3063227
2023-04-14 04:00:00,-0.63029224
2023-04-14 05:00:00,-0.87888545
2023-04-14 06:00:00,-1.0225948
2023-04-14 07:00:00,-1.0050467
2023-04-14 08:00:00,-0.7107676
2023-04-14 09:00:00,-0.19050463
2023-04-14 10:00:00,0.2628999
2023-04-14 11:00:00,0.66792244
2023-04-14 12:00:00,0.94287235
2023-04-14 13:00:00,1.0765153
2023-04-14 14:00:00,0.93392915
2023-04-14 15:00:00,0.55276585
2023-04-14 16:00:00,0.07122881
2023-04-14 17:00:00,-0.3534308
2023-04-14 18:00:00,-0.6850634
2023-04-14 19:00:00,-0.92698854
2023-04-14 20:00:00,-1.0535185
2023-04-14 21:00:00,-0.99375427
2023-04-14 22:00:00,-0.61571616
2023-04-14 23:00:00,-0.060880397
2023-04-15 00:00:00,0.37213242
2023-04-15 01:00:00,0.6865839
2023-04-15 02:00:00,0.75636345
2023-04-15 03:00:00,0.5783439
2023-04-15 04:00:00,0.17003727
2023-04-15 05:00:00,-0.28242558
2023-04-15 06:00:00,-0.64147437
2023-04-15 07:00:00,-0.89105207
2023-04-15 08:00:00,-1.0335549
2023-04-15 09:00:00,-0.9914333
2023-04-15 10:00:00,-0.61489946
2023-04-15 11:00:00,-0.012342142
2023-04-15 12:00:00,0.4973823
2023-04-15 13:00:00,0.936966
2023-04-15 14:00:00,1.2184622
2023-04-15 15:00:00,1.2171862
2023-04-15 16:00:00,0.902375
2023-04-15 17:00:00,0.3396202
2023-04-15 18:00:00,-0.201847
2023-04-15 19:00:00,-0.6334935
2023-04-15 20:00:00,-0.9657485
2023-04-15 21:00:00,-1.1903753
2023-04-15 22:00:00,-1.2378341
2023-04-15 23:00:00,-0.93962175
2023-04-16 00:00:00,-0.25930095
2023-04-16 01:00:00,0.32788426
2023-04-16 02:00:00,0.79730505
2023-04-16 03:00:00,1.0716311
2023-04-16 04:00:00,1.0378946
2023-04-16 05:00:00,0.6253934
2023-04-16 06:00:00,0.026324907
2023-04-16 07:00:00,-0.4719533
2023-04-16 08:00:00,-0.84563875
2023-04-16 09:00:00,-1.0985062
2023-04-16 10:00:00,-1.1962681
2023-04-16 11:00:00,-0.93284625
2023-04-16 12:00:00,-0.20443434
2023-04-16 13:00:00,0.44236127
2023-04-16 14:00:00,0.9955865
2023-04-16 15:00:00,1.391458
2023-04-16 16:00:00,1.3110571
2023-04-16 17:00:00,1.064665
2023-04-16 18:00:00,0.47766033
2023-04-16 19:00:00,-0.15476875
2023-04-16 20:00:00,-0.627771
2023-04-16 21:00:00,-1.0068334
2023-04-16 22:00:00,-1.2974766
2023-04-16 23:00:00,-1.4018699
2023-04-17 00:00:00,-1.087455
2023-04-17 01:00:00,-0.21616036
2023-04-17 02:00:00,0.49009392
